"bfi_1"	"bfi_2"	"bfi_3"	"bfi_4"	"bfi_5"	"bfi_6"	"bfi_7"	"bfi_8"	"bfi_9"	"bfi_10"	"bfi_11"	"bfi_12"	"bfi_13"	"bfi_14"	"bfi_15"	"bfi_16"	"bfi_17"	"bfi_18"	"bfi_19"	"bfi_20"	"bfi_21"	"bfi_22"	"bfi_23"	"bfi_24"	"bfi_25"	"bfi_26"	"bfi_27"	"bfi_28"	"bfi_29"	"bfi_30"	"bfi_31"	"bfi_32"	"bfi_33"	"bfi_34"	"bfi_35"	"bfi_36"	"bfi_37"	"bfi_38"	"bfi_39"	"bfi_40"	"bfi_41"	"bfi_42"	"bfi_43"	"bfi_44"	"AgainstAbortion"	"AgainstGayMarriage"	"AgainstUniversalHealthcare"	"AgainstTaxingTheRich"	"ConservativeIdeology"	"PoliticalInterest"	"Vote"	"YearOfBirth"	"Gender"	"Race"	"EducationLevel"	"IncomeLevel"	"State"
4	4	4	3	5	3	3	3	3	5	4	2	5	3	4	4	3	4	4	5	2	3	3	3	4	4	3	4	4	4	4	4	3	4	2	4	3	4	3	5	1	4	4	5	4	3	3	4	4	1	2	1957	1	1	6	12	21
5	1	4	2	3	2	5	4	3	5	5	2	5	5	2	5	5	4	5	3	1	5	2	4	3	4	1	5	5	2	2	5	3	2	4	5	4	5	3	4	5	5	5	1	2	4	3	3	5	2	2	1953	1	1	3	9	48
5	2	5	4	5	4	4	2	3	5	3	2	5	2	4	4	4	1	4	5	2	5	1	5	5	5	4	5	1	5	4	4	4	4	1	4	1	4	1	3	1	4	1	5	4	4	3	4	5	1	2	1938	2	1	3	6	3
4	2	4	1	4	4	5	3	5	5	3	1	5	1	3	3	5	5	1	4	3	5	3	5	4	3	1	5	1	5	3	5	4	5	2	4	1	3	1	3	1	5	3	4	1	1	1	1	2	1	1	1961	1	1	4	14	7
1	1	5	1	2	5	5	3	5	4	3	1	5	2	3	3	5	3	2	2	5	5	3	5	2	4	4	4	4	1	5	5	5	5	4	2	3	4	2	5	5	4	2	1	3	2	3	4	4	1	2	1958	1	1	5	9	9
3	4	4	4	4	4	4	4	2	5	3	1	5	4	4	3	2	2	5	5	4	2	1	4	2	4	4	5	5	5	4	5	5	3	1	4	4	5	2	4	4	4	4	4	2	2	3	2	4	1	2	1949	1	1	5	12	5
4	2	5	2	5	4	4	1	2	5	5	2	5	3	5	5	4	2	2	5	4	4	1	5	5	4	3	5	2	4	5	5	5	5	2	1	1	4	1	5	2	3	2	4	2	4	3	4	4	1	2	1956	2	1	6	10	37
4	2	5	3	4	4	5	1	4	5	4	1	5	1	4	4	5	4	4	4	4	5	4	4	4	4	3	5	4	5	4	5	4	4	1	2	1	4	3	4	4	2	2	2	2	4	3	4	4	1	2	1960	1	1	3	8	37
1	5	3	3	4	2	4	4	3	3	1	3	5	5	4	3	3	3	3	5	5	2	3	2	4	3	5	3	5	5	5	4	3	3	3	1	3	3	2	4	2	3	3	4	2	4	1	1	3	2	1	1963	1	1	5	1	34
1	4	5	3	4	4	4	4	3	5	4	1	5	4	5	4	4	4	3	5	5	5	3	4	4	3	3	4	4	5	4	4	4	4	2	2	3	4	3	4	1	2	3	5	2	3	3	4	4	1	2	1969	1	1	5	10	14
4	1	5	2	4	3	5	2	3	4	3	1	5	4	4	5	5	4	5	2	3	4	2	4	4	3	1	2	3	4	2	5	4	3	2	4	1	4	4	4	3	5	2	3	3	3	1	1	3	1	1	1958	1	1	2	11	37
4	3	4	1	4	4	4	1	5	3	3	1	4	2	3	4	5	1	4	1	3	5	1	5	3	4	1	4	3	3	1	5	3	4	4	5	1	4	4	3	3	4	1	3	4	4	3	2	5	2	2	1933	2	1	2	5	9
4	4	3	1	3	3	4	3	4	4	4	1	4	4	3	4	4	3	4	3	3	4	1	4	3	4	3	3	2	3	2	4	4	3	4	4	1	4	2	3	4	4	1	2	2	2	3	4	4	1	2	1954	2	1	5	13	9
4	2	5	5	5	4	5	1	2	5	4	1	5	4	4	4	5	1	4	5	4	5	2	3	5	4	1	5	4	5	4	5	5	4	2	4	1	5	4	5	1	5	1	5	1	1	1	2	3	1	1	1964	1	1	5	6	20
5	4	5	5	5	3	5	4	4	5	4	3	5	4	4	4	4	4	3	5	3	4	3	5	5	3	4	3	3	5	4	5	4	4	1	4	1	4	2	5	2	5	2	2	3	4	3	2	4	1	2	1940	2	1	3	12	10
5	1	5	1	5	1	4	4	4	5	4	1	5	4	4	4	5	4	1	3	2	4	1	5	4	4	3	4	1	4	3	4	5	5	1	5	1	4	4	4	3	5	1	3	1	2	2	2	3	2	1	1943	2	1	3	14	33
3	4	5	3	4	3	5	1	2	4	3	3	5	3	4	4	4	1	4	3	3	3	2	3	2	2	2	5	4	2	4	4	4	2	4	3	3	4	4	5	2	4	4	3	4	4	3	3	5	1	2	1958	2	1	2	9	41
